"Datum";"Uhrzeit";"Wochentag";"#";"ST";"Mannschaft 1";"Mannschaft 2";"Schiedsgericht";"Gastgeber";"Austragungsort/Ergebnis";"Austragungsort";"Ergebnis";"Saison";"Spielrunde";"Geschlecht";"Satzpunkte";"Ballpunkte";"Spieldauer";"Satzpunkte 1";":";"Satzpunkte 2";"Satz 1 - Ballpunkte 1";":";"Satz 1 - Ballpunkte 2";"Satz 1 - Satzdauer";"Satz 2 - Ballpunkte 1";":";"Satz 2 - Ballpunkte 2";"Satz 2 - Satzdauer";"Satz 3 - Ballpunkte 1";":";"Satz 3 - Ballpunkte 2";"Satz 3 - Satzdauer";"Satz 4 - Ballpunkte 1";":";"Satz 4 - Ballpunkte 2";"Satz 4 - Satzdauer";"Satz 5 - Ballpunkte 1";":";"Satz 5 - Ballpunkte 2";"Satz 5 - Satzdauer";
"13.12.2025";"11:00:00";"Samstag";"1044";"Spieltag 8";"VfB 91 Suhl II";"SWE Volley-Team III";"VC Altenburg I";"VfB 91 Suhl II";"SH Reinhard-Heß (98529 Suhl)";"SH Reinhard-Heß (98529 Suhl)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"13.12.2025";"11:00:00";"Samstag";"1045";"Spieltag 8";"VfB 91 Suhl II";"VC Altenburg I";"SWE Volley-Team III";"VfB 91 Suhl II";"SH Reinhard-Heß (98529 Suhl)";"SH Reinhard-Heß (98529 Suhl)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"10.01.2026";"00:00:00";"Samstag";"1090";"Spieltag 16";"Volley Juniors Thüringen I";"VfB 91 Suhl II";"-";"Volley Juniors Thüringen I";"Pierre-de-Coubertin Gymnasium (99096 Erfurt)";"Pierre-de-Coubertin Gymnasium (99096 Erfurt)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"10.01.2026";"00:00:00";"Samstag";"1091";"Spieltag 16";"Volley Juniors Thüringen I";"Volleyball Gemeinschaft Bleicherode 1";"-";"Volley Juniors Thüringen I";"Pierre-de-Coubertin Gymnasium (99096 Erfurt)";"Pierre-de-Coubertin Gymnasium (99096 Erfurt)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"17.01.2026";"11:00:00";"Samstag";"1048";"Spieltag 9";"VV70 Meiningen I";"SVV Weimar e.V. I";"Volleyball Gemeinschaft Bleicherode 1";"VV70 Meiningen I";"Multihalle Meiningen (98617 Meiningen)";"Multihalle Meiningen (98617 Meiningen)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"17.01.2026";"11:00:00";"Samstag";"1049";"Spieltag 9";"VV70 Meiningen I";"Volleyball Gemeinschaft Bleicherode 1";"SVV Weimar e.V. I";"VV70 Meiningen I";"Multihalle Meiningen (98617 Meiningen)";"Multihalle Meiningen (98617 Meiningen)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"17.01.2026";"13:00:00";"Samstag";"1052";"Spieltag 9";"SV 1860 Oberweißbach";"VfB 91 Suhl II";"SWE Volley-Team III";"SV 1860 Oberweißbach";"RS Friedrich Fröbel (98744 Oberweißbach)";"RS Friedrich Fröbel (98744 Oberweißbach)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"17.01.2026";"13:00:00";"Samstag";"1053";"Spieltag 9";"SV 1860 Oberweißbach";"SWE Volley-Team III";"VfB 91 Suhl II";"SV 1860 Oberweißbach";"RS Friedrich Fröbel (98744 Oberweißbach)";"RS Friedrich Fröbel (98744 Oberweißbach)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"17.01.2026";"14:00:00";"Samstag";"1050";"Spieltag 9";"Geraer VC I";"SG  ERFURT electronic II";"VC Altenburg I";"Geraer VC I";"Gera Ostschule (07546 Gera)";"Gera Ostschule (07546 Gera)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"17.01.2026";"14:00:00";"Samstag";"1051";"Spieltag 9";"Geraer VC I";"VC Altenburg I";"SG  ERFURT electronic II";"Geraer VC I";"Gera Ostschule (07546 Gera)";"Gera Ostschule (07546 Gera)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
"24.01.2026";"11:00:00";"Samstag";"1056";"Spieltag 10";"VfB 91 Suhl II";"Geraer VC I";"SWE Volley-Team III";"VfB 91 Suhl II";"SH Reinhard-Heß (98529 Suhl)";"SH Reinhard-Heß (98529 Suhl)";"-";"2025/26";"Thüringenliga Damen";"weiblich";
